Timestamp,What is your favorite Driver?,What is your favorite Midrange?,What is your favorite Putter?
10/26/2020 15:08:13,Innova Destroyer,Innova Panther,Gateway Warlock
10/26/2020 15:12:12,Discraft Hades,Buzzz,Fierce
10/26/2020 15:14:02,Latitude 64 Saint Pro,Discraft buzz,Dynamic Discs Warden
10/26/2020 15:16:56,Innova Firebird,Buzz,Aviar
10/26/2020 15:23:18,Innova Destroyer,Buzzz,Atom or a Wizard
10/26/2020 15:24:01,Discmania PD2,Buzzz,S-Line P2
10/26/2020 15:24:28,Innova Destroyer,Roc,Atom
10/26/2020 15:31:06,Infinite Disc Maya,Inca,Atom
10/26/2020 15:53:45,Discraft Zeus,Discraft Buzzz,Prodigy PA-1
10/26/2020 16:21:33,Disccraft Hades,Mako 3,Jawbreaker Banger GT
10/26/2020 16:54:27,Innova Destroyer,Innova roc,Legacy hunter
10/26/2020 17:35:52,Latitude 64 Ballista,Innova roc,Innova aviar
10/26/2020 17:35:55,Axiom Mayhem,Mvp Matrix,Axiom envy
10/26/2020 17:36:21,Kastaplast K1 Lots,Kastaplast K1 Gote,Kastaplast K3 Reko
10/26/2020 17:39:07,Innova Thunderbird,Buzzz,P2
10/26/2020 17:41:29,Kastaplast Rask,Zone,Berg
10/26/2020 17:42:30,Innova Mamba,Teebird,Aviar
10/26/2020 17:47:23,Innova Destoryer,Kc pro roc,P-line P2
10/26/2020 17:47:58,Discraft Mantis,Buzzz,Fierce
10/26/2020 17:48:32,Latitude 64 Explorer,Verdict,Maiden
10/26/2020 17:48:46,Dynamic Discs Escape,EMac Truth,Dynamic Disc Blend Judge
10/26/2020 17:49:30,Innova Beast,Discraft Buzzz,Kastaplast Reko
10/26/2020 17:50:33,Discraft Raptor,Bard,Warden
10/26/2020 17:50:57,Kastaplast lots,Kastaplast gote,Kastaplast reko
10/26/2020 17:51:04,Discraft Anax,Discraft Buzzz 170G,Gateway Wizard 176G
10/26/2020 17:51:14,Discraft Zeus,Roc3,Macana & harp
10/26/2020 17:51:59,Innova Leopard,Disc Craft Buzzz,Gateway Voodoo
