Driver,Midrange,Putter
AGL Locust,AGL Magnolia,300 Pa3
Axiom Crave,Axiom Pyro,Ace Line P Model S
Axiom Mayhem ,DGA Quake,Aero putt and approach
Axiom Wave,DGA Squall,AGL Baobab
DGA Pipeline,Discmania M2,AGL Madrone
DGA Pipeline,Discmania M2,Anything without a bead 
DGA Pipeline ,Discmania MD,Axiom Envy
DGA Undertow,Discmania MD,Axiom Envy
Discmania CD3,Discmania MD2,Axiom Envy
Discmania DD3,Discmania MD3,Axiom Envy
Discmania DD3,Discmania MD3,DGA Blowfly
Discmania DD3,Discmania MD3,DGA Steady Ed
Discmania Enigma,Discmania MD4,Discmania Link
Discmania FD,Discmania MD4,Discmania Link
Discmania FD,Discmania MD5,Discmania Link
Discmania PD,Discmania Titan ,Discmania P1X
Discmania PD2 ,Discraft Buzz,Discmania P2
Discmania TD2,Discraft Buzz,Discmania P2
Discrafft Crush,Discraft Buzzz,Discmania P2
Discraft Anax,Discraft Buzzz,Discmania P2
Discraft Avenger,Discraft Buzzz,Discmania P2
Discraft Avenger SS,Discraft Buzzz,Discmania P2
Discraft Avenger SS ,Discraft Buzzz,Discmania P2
Discraft Crank,Discraft Buzzz,Discmania P2
Discraft Crank,Discraft Buzzz,Discmania P2
Discraft Force,Discraft Buzzz,Discmania P2
Discraft Force,Discraft Buzzz,Discmania P2
Discraft Force,Discraft Buzzz,Discmania P2
Discraft Force,Discraft Buzzz,Discmania P2
Discraft Hades,Discraft Buzzz,Discmania P2
Discraft Hades,Discraft Buzzz,Discmania P2
Discraft Hades,Discraft Buzzz,Discmania P2
Discraft Hades,Discraft Buzzz,Discmania Sensei
Discraft Hades,Discraft Buzzz,Discraft Banger
Discraft Hades ,Discraft Buzzz,Discraft Banger GT
Discraft Heat ,Discraft Buzzz,Discraft Challenger
Discraft Mantis,Discraft Buzzz,Discraft Challenger
Discraft Nuke,Discraft Buzzz,Discraft Challenger
Discraft Nuke,Discraft Buzzz,Discraft Challenger
Discraft Nuke,Discraft Buzzz,Discraft Challenger
Discraft Nuke,Discraft Buzzz,Discraft Fierce
Discraft Nuke SS ,Discraft Buzzz,Discraft Fierce
Discraft Raptor,Discraft Buzzz,Discraft Focus
Discraft Surge,Discraft Buzzz,Discraft Luna
Discraft Surge SS,Discraft Buzzz,Discraft Luna
Discraft Thrasher,Discraft Buzzz,Discraft Luna
Discraft Undertaker,Discraft Buzzz,Discraft Luna
Discraft Undertaker ,Discraft Buzzz,Discraft Luna
Discraft Zeus,Discraft Buzzz,Discraft Luna 
Discraft Zeus,Discraft Buzzz,Discraft Magnet
Discraft Zeus,Discraft Buzzz,Discraft Magnet
Discraft Zeus,Discraft Buzzz,Discraft Magnet
Discraft Zombee,Discraft Buzzz,Discraft Ringer
Dynamic Discs Convict ,Discraft Buzzz,Discraft Roach
Dynamic Discs Defender,Discraft Buzzz,Discraft Roach
Dynamic Discs Defender,Discraft Buzzz,Discraft Roach
Dynamic Discs Escape,Discraft Buzzz,Discraft Roach
Dynamic Discs Freedom,Discraft Buzzz,Discraft Roach 
Dynamic Discs Raider,Discraft Buzzz,Discraft Zone
Dynamic Discs Renegade,Discraft Buzzz,Discraft Zone
Dynamic Discs Renegade,Discraft Buzzz,Dynamic Disc Warden
Dynamic Discs Renegade,Discraft Buzzz,Dynamic Disc Warden
Dynamic Discs Renegade,Discraft Buzzz,Dynamic Discs Deputy
Dynamic Discs Sergeant,Discraft Buzzz,Dynamic Discs Deputy
Dynamic Discs Trespass,Discraft Buzzz,Dynamic Discs Deputy
Dynamic Discs Trespass,Discraft Buzzz,Dynamic Discs Guard
Dynamic Discs Trespass,Discraft Buzzz,Dynamic Discs Judge
Dynamic Discs Trespass,Discraft Buzzz,Dynamic Discs Judge
Dynamic Discs Trespass,Discraft Buzzz ,Dynamic Discs Judge
Dynamic Discs Trespass ,Discraft Buzzz OS,Dynamic Discs Judge
Dynamic Discs Trespass ,Discraft Buzzz SS,Dynamic Discs Judge
Dynamic Discs Witness,Discraft Buzzz SS,Dynamic Discs Judge
Infinite Discs Maya,Discraft Buzzz SS,Dynamic Discs Judge
Infinite Discs Pharaoh,Discraft Comet,Dynamic Discs Judge
Innova Archon,Discraft Comet,Dynamic Discs Judge
Innova Beast,Discraft Drone,Dynamic Discs Judge
Innova Beast ,Discraft Drone,Dynamic Discs Judge
Innova Boss,Discraft Drone,Dynamic Discs Judge
Innova Boss,Discraft Drone,Dynamic Discs Judge
Innova Boss,Discraft Drone,Dynamic Discs Judge
Innova Boss ,Discraft Malta,Dynamic Discs Judge
Innova Colossus ,Discraft Meteor,Dynamic Discs Judge
Innova Colossus ,Discraft Meteor,Dynamic Discs Marshal
Innova Destoryer ,Discraft Meteor,Dynamic Discs Warden
Innova Destroyer,Discraft Meteor,Dynamic Discs Warden
Innova Destroyer,Discraft Meteor,Dynamic Discs Warden
Innova Destroyer,Discraft Meteor,Dynamic Discs Warden
Innova Destroyer,Discraft Wasp,Dynamic Discs Warden
Innova Destroyer,Discraft Wasp,Dynamic Discs Warden
Innova Destroyer,Discraft Wasp,Dynamic Discs Warden
Innova Destroyer,Discraft Zone,Dynamic Discs Warden
Innova Destroyer,Discraft Zone,Dynamic Discs Warden
Innova Destroyer,Discraft Zone,Dynamic Discs Warden
