Manufacturer,Name,Speed,Glide,Turn,Fade,Type
Legacy,Rampage,14,5,-1,4,Distance
Legacy,Cannon,14,5,-3,3,Distance
Westside,King,14,5,-1,4,Distance
Discmania,DD2 Frenzy,13,5,-2,2,Distance
Discraft,Nuke OS,13,4,0,4,Distance
Discraft,Nuke,13,4,-1,3,Distance
Discraft,Nuke SS,13,4,-3,3,Distance
Gateway,Samurai,13,6,-2,2,Distance
Gateway,Slayer,13,5,-2,2,Distance
Innova,Groove,13,6,-2,2,Distance
Innova,Ape,13,5,0,4,Distance
Innova,Boss,13,5,-1,3,Distance
Innova,Dominator,13,5,-1,2,Distance
Innova,Katana,13,5,-3,3,Distance
Innova,Vulcan,13,5,-4,2,Distance
Latitude 64°,Bolt,13,6,-2,3,Distance
Latitude 64°,Halo,13,5,0,3,Distance
Latitude 64°,Havoc,13,5,-1,3,Distance
Latitude 64°,Stiletto,13,2,1,6,Distance
Millenium,Quasar,13,5,-1,4,Distance
Prodigy,D1,13,6,-0.5,3,Distance
Prodigy,D2,13,6,-1,3,Distance
Prodigy,D4,13,6,-2.5,2,Distance
Prodigy,D3,13,5,-2,2,Distance
Prodiscus,Legenda,13,5,-1,3,Distance
Vibram,Lace,13,6,-1,3,Distance
Westside,Giant,13,5,1,4,Distance
DGA,Hurricane,12,5,-1,2,Distance
Discmania,PD2 Chaos,12,4,0,4,Distance
Discraft,Force,12,5,0,4,Distance
Dynamic Discs,Trespass,12,5,-0.5,3,Distance
Innova,Tern,12,6,-2,2,Distance
Innova,Wahoo,12,6,-2,2,Distance
Innova,Xcaliber,12,5,0,4,Distance
Innova,Destroyer,12,5,-1,3,Distance
Innova,TeeDevil,12,5,-1,2,Distance
Latitude 64°,Villain,12,4,0,4,Distance
Latitude 64°,Blitz,12,3,0,4,Distance
Millenium,Scorpius,12,5,-1,3,Distance
Prodiscus,Slaidi,12,5,0,3,Distance
Quest,Double D,12,4,0,5,Distance
Westside,Sword,12,5,0,2,Distance
Discmania,DD Hysteria,11,5,0,2,Distance
Discraft,Crush,11,5,0,4,Distance
Discraft,Pulse,11,5,0,3,Distance
Dynamic Discs,Renegade,11,5,-1.5,2.5,Distance
Gateway,Diablo DT,11,6,-1,3.7,Distance
Innova,Mamba,11,6,-5,1,Distance
Innova,Krait,11,5,-1,2,Distance
Innova,Wraith,11,5,-1,3,Distance
Innova,Archon,11,5,-2,2,Distance
Innova,TeeRex,11,4,0,4,Distance
Innova,Max,11,3,0,5,Distance
Latitude 64°,Flow,11,6,-1,2,Distance
Latitude 64°,Riot,11,4,-1,2,Distance
Millenium,Astra,11,5,-2,2,Distance
Quest,Classic Inferno,11,6,-3,1,Distance
Quest,Raging Inferno,11,5,0,3,Distance
